Date,Year,Month,Mean Temp (C),Max Temp (C),Min Temp (C),Total Rain (mm),Total Snow (cm),Total Precip (mm),season
1938-01-01,1938,1,-7.2,-2.6,-11.7,13.5,26.9,40.4,Winter
1938-02-01,1938,2,-3.7,0.8,-8.2,63.2,13.2,76.5,Winter
1938-03-01,1938,3,1.4,7.4,-4.6,35.3,6.4,41.7,Spring
1938-04-01,1938,4,7.6,13.6,1.6,21.8,11.4,33.3,Spring
1938-05-01,1938,5,12.1,18.8,5.4,72.4,0.0,72.4,Spring
1938-06-01,1938,6,17.3,24.8,9.8,42.2,0.0,42.2,Summer
1938-07-01,1938,7,21.8,28.9,14.6,63.2,0.0,63.2,Summer
1938-08-01,1938,8,22.7,29.7,15.6,37.1,0.0,37.1,Summer
1938-09-01,1938,9,14.2,20.1,8.2,102.1,0.0,102.1,Fall
1938-10-01,1938,10,9.9,16.2,3.6,7.1,0.0,7.1,Fall
1938-11-01,1938,11,3.2,9.0,-2.7,30.5,2.5,33.0,Fall
1938-12-01,1938,12,-2.5,1.1,-6.1,13.7,13.7,27.4,Winter
1939-01-01,1939,1,-6.7,-1.3,-12.0,2.5,45.7,48.3,Winter
1939-02-01,1939,2,-5.8,-0.5,-11.1,30.2,57.9,88.1,Winter
1939-03-01,1939,3,-3.6,0.7,-7.8,26.2,54.4,80.5,Spring
1939-04-01,1939,4,4.1,8.2,-0.1,57.7,32.5,90.2,Spring
1939-05-01,1939,5,13.9,21.1,6.6,26.4,0.0,26.4,Spring
1939-06-01,1939,6,18.0,24.6,11.4,51.8,0.0,51.8,Summer
1939-07-01,1939,7,20.9,28.2,13.5,39.4,0.0,39.4,Summer
1939-08-01,1939,8,21.7,28.7,14.7,51.6,0.0,51.6,Summer
1939-09-01,1939,9,,,,,,,Fall
1939-10-01,1939,10,,,,,,,Fall
1939-11-01,1939,11,,,,,,,Fall
1939-12-01,1939,12,,,,,,,Winter
1940-01-01,1940,1,-9.4,-5.2,-13.6,26.7,21.6,48.3,Winter
1940-02-01,1940,2,-6.2,-2.2,-10.1,6.9,27.2,34.0,Winter
1940-03-01,1940,3,-5.2,-1.3,-9.1,13.2,35.1,48.3,Spring
1940-04-01,1940,4,4.1,8.8,-0.6,45.5,5.3,50.8,Spring
1940-05-01,1940,5,11.7,16.7,6.6,123.4,0.0,123.4,Spring
1940-06-01,1940,6,16.6,21.9,11.2,86.1,0.0,86.1,Summer
1940-07-01,1940,7,20.5,26.6,14.3,70.9,0.0,70.9,Summer
1940-08-01,1940,8,19.4,25.1,13.6,84.1,0.0,84.1,Summer
1940-09-01,1940,9,15.1,20.3,9.8,102.4,0.0,102.4,Fall
1940-10-01,1940,10,7.4,12.8,1.9,45.5,0.0,45.5,Fall
1940-11-01,1940,11,2.2,5.9,-1.6,53.3,61.0,114.3,Fall
1940-12-01,1940,12,-3.6,0.6,-7.7,68.1,14.5,82.6,Winter
1941-01-01,1941,1,-6.9,-3.1,-10.6,21.1,50.0,71.1,Winter
1941-02-01,1941,2,-6.2,-2.6,-9.8,6.4,24.6,31.0,Winter
1941-03-01,1941,3,-3.8,0.6,-8.1,23.6,13.2,36.8,Spring
1941-04-01,1941,4,9.2,15.5,2.9,45.0,0.0,45.0,Spring
1941-05-01,1941,5,13.9,20.3,7.5,53.8,0.0,53.8,Spring
1941-06-01,1941,6,19.3,25.4,13.2,75.7,0.0,75.7,Summer
1941-07-01,1941,7,21.5,27.7,15.3,68.1,0.0,68.1,Summer
1941-08-01,1941,8,19.5,25.6,13.4,39.4,0.0,39.4,Summer
1941-09-01,1941,9,16.8,23.2,10.4,25.1,0.0,25.1,Fall
1941-10-01,1941,10,10.0,14.7,5.2,89.2,0.0,89.2,Fall
1941-11-01,1941,11,4.7,8.5,0.8,52.6,0.0,52.6,Fall
1941-12-01,1941,12,-1.5,1.9,-4.8,24.9,16.3,41.1,Winter
1942-01-01,1942,1,-5.5,-1.4,-9.6,21.8,15.2,37.1,Winter
1942-02-01,1942,2,-7.7,-4.3,-11.0,13.0,28.2,41.1,Winter
1942-03-01,1942,3,1.4,4.3,-1.5,94.0,23.1,117.1,Spring
1942-04-01,1942,4,8.9,14.7,3.1,29.7,13.7,43.4,Spring
1942-05-01,1942,5,12.9,18.2,7.6,208.5,0.0,208.5,Spring
1942-06-01,1942,6,17.8,23.4,12.2,32.8,0.0,32.8,Summer
1942-07-01,1942,7,20.2,26.7,13.7,110.0,0.0,110.0,Summer
1942-08-01,1942,8,19.7,25.7,13.6,28.7,0.0,28.7,Summer
1942-09-01,1942,9,15.1,20.9,9.3,99.8,0.0,99.8,Fall
