empresa,total_passageiros,total_arrecadado,subsidio,total_linhas
2,436283,943471.95,72438.0,51
12,622554,1248530.95,60994.0,66
14,242536,646347.45,44206.0,32
19,182727,438458.05,7012.0,28
20,282515,618359.25,65290.0,21
21,182086,444046.35,15473.0,22
26,235162,366370.65,9699.0,31
30,481047,1116262.9,71452.0,53
35,768784,1767646.7,194303.0,70
36,416444,877414.2,222595.0,32
42,504213,1012089.95,28199.0,53
55,537088,2587706.65,25516.0,4
56,6162035,22328476.5,612298.0,29
57,756626,3465044.15,26743.0,17
60,960559,7127269.9,31159.0,18
64,664710,3991210.95,11421.0,6
67,663133,1006379.15,107708.0,30
72,2845719,10745334.75,127129.0,14
74,870877,7339119.25,0.0,6
76,47994,236387.25,528.0,1
79,62920,267922.25,0.0,1
80,135107,1884562.65,0.0,1
